DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLD33,CD-CG (19-23),2360,220,Manchester,"Manufacture of petroleum, chemicals and other minerals"
2015,TLD33,CH (24-25),925,39,Manchester,Manufacture of basic and fabricated metal products
2015,TLD33,CI-CJ (26-27),1090,89,Manchester,"Manufacture of electronic, optical and electrical products"
2015,TLD33,CK-CL (28-30),1100,47,Manchester,Manufacture of machinery and transport equipment
2015,TLD33,DE (35-39),1220,445,Manchester,"Electricity, gas, water; sewerage and waste management"
2015,TLD33,K (64-66),15980,2489,Manchester,Financial and insurance activities
2015,TLD33,O (84),12850,853,Manchester,Public administration and defence
2015,TLD33,P (85),21900,1391,Manchester,Education
2015,TLD33,T (97-98),0,14,Manchester,Activities of households
2015,TLD34,31-32,790,73,Greater Manchester South West,Manufacture of furniture; other manufacturing
2015,TLD34,33,490,24,Greater Manchester South West,Repair and installation of machinery and equipment
2015,TLD34,41,3950,425,Greater Manchester South West,Construction of buildings
2015,TLD34,42,2255,218,Greater Manchester South West,Civil engineering
2015,TLD34,43,5950,370,Greater Manchester South West,Specialised construction activities
2015,TLD34,45,3445,167,Greater Manchester South West,Motor trades
2015,TLD34,46,14440,493,Greater Manchester South West,Wholesale trade
2015,TLD34,47,11245,845,Greater Manchester South West,Retail trade
